rank,amount
4089,2500.0
4090,2500.0
4091,2500.0
4092,100.0
4093,250.0
4094,10.0
4095,50.0
4096,10.0
4097,10.0
4098,10.0
4099,35.0
4100,35.0
4101,35.0
4102,35.0
4103,2250.0
4104,100.0
4105,100.0
4106,500.0
4107,1000.0
4108,500.0
4109,500.0
4110,250.0
4111,250.0
4112,2500.0
4113,190.0
4114,2500.0
4115,10.0
4116,1000.0
4117,2500.0
4118,250.0
4119,2500.0
4120,1000.0
4121,2500.0
4122,2500.0
4123,2500.0
4124,100.0
4125,100.0
4126,60.0
4127,1000.0
4128,100.0
4129,50.0
4130,1500.0
4131,500.0
4132,25.0
4133,10.0
4134,100.0
4135,100.0
4136,100.0
4137,50.0
4138,50.0
4139,100.0
4140,20.12
4141,100.0
4142,500.0
4143,1000.0
4144,35.0
4145,35.0
4146,250.0
4147,2500.0
4148,2500.0
4149,1000.0
4150,2000.0
4151,2500.0
4152,50.0
4153,500.0
4154,40.0
4155,40.0
4156,50.0
4157,60.0
4158,250.0
4159,1000.0
4160,250.0
4161,5000.0
4162,1999.4
4163,2500.0
4164,2500.0
4165,300.0
4166,1000.0
4167,2500.0
4168,1500.0
4169,50.0
4170,500.0
4171,2500.0
4172,2500.0
4173,2500.0
4174,2500.0
4175,2500.0
4176,75.0
4177,500.0
4178,500.0
4179,500.0
4180,1000.0
4181,2500.0
4182,2500.0
4183,100.0
4184,500.0
4185,2500.0
4186,500.0
4187,250.0
4188,250.0
4189,2500.0
4190,1000.0
4191,1000.0
4192,100.0
4193,60.0
4194,10.0
4195,100.0
4196,250.0
4197,50.0
4198,2500.0
4199,150.0
4200,250.0
4201,2500.0
4202,2500.0
4203,100.0
4204,1000.0
4205,2500.0
4206,500.0
4207,2000.0
4208,500.0
4209,250.0
4210,1000.0
4211,2500.0
4212,500.0
4213,250.0
4214,150.0
4215,2500.0
4216,2500.0
4217,60.0
4218,125.0
4219,875.0
4220,100.0
4221,2500.0
4222,2500.0
4223,500.0
4225,500.0
4226,500.0
4227,2500.0
4228,2500.0
4229,35.0
4230,100.0
4231,1250.0
4232,1250.0
4233,500.0
4234,2500.0
4235,2500.0
4236,2500.0
4237,50.0
4238,500.0
4239,54.0
4240,2500.0
4241,100.0
4242,250.0
4243,2000.0
4244,5000.0
4246,2500.0
4247,500.0
4248,50.0
4249,50.0
4250,2500.0
4251,2500.0
4252,2500.0
4253,2500.0
4254,2500.0
4255,1000.0
4256,1000.0
4257,100.0
4258,15.0
4259,15.0
4260,35.0
4261,20.0
4262,35.0
4263,10.0
4264,2500.0
4265,2500.0
4266,2500.0
4267,500.0
4268,2500.0
4269,2500.0
4270,2500.0
4271,1000.0
4272,1500.0
4273,500.0
4274,500.0
4275,250.0
4276,2500.0
4277,1250.0
4278,40.0
4279,500.0
